epoch,epoch_time,train_loss,val_loss,val_f1
1,162.56130283100356,0.028269267131762553,0.007355957110037749,0.49388801489097167
2,162.94599233099143,0.00541507903964768,0.004333571932310688,0.6799183393170695
3,163.25822081400838,0.0032855287102352727,0.002860538387167985,0.7821635652020682
4,163.01073703699512,0.00236279027320885,0.0023283042979089477,0.8295066974160437
5,162.5723029889923,0.0019559219095404627,0.0020999231000414825,0.8705295073223533
6,162.78989128000103,0.0015116292311826587,0.0020410463567849934,0.8765862881937783
7,162.8580318059976,0.0013790345521529565,0.001716013776503728,0.903977058608827
8,162.78417270099453,0.0011011906594495069,0.001781567124296622,0.8991001920798563
9,162.61677688200143,0.0010090878649055685,0.0016840576666244038,0.9306998005232533
10,163.36010978999548,0.0008333773878001217,0.002971512424738157,0.8410570009414193
