fold_name,fold_number,partition,id
0,0,train,16s_C.reinhardtii.mito_domain4
0,0,train,srp_Schi.pomb._AU010514
0,0,train,RNaseP_H.chlorum-partial
0,0,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
0,0,train,16s_H.sapiens.mito_domain4
0,0,train,16s_C.elegans_domain4
0,0,train,srp_Toxo.gond._CO743022
0,0,valid,tmRNA_Jako.libe._TRW-143017_1-102
1,1,train,srp_Toxo.gond._CO743022
1,1,train,tmRNA_Jako.libe._TRW-143017_1-102
1,1,train,16s_C.elegans_domain4
1,1,train,srp_Schi.pomb._AU010514
1,1,train,16s_H.sapiens.mito_domain4
1,1,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
1,1,valid,RNaseP_H.chlorum-partial
1,1,test,16s_C.reinhardtii.mito_domain4
2,2,train,srp_Toxo.gond._CO743022
2,2,train,RNaseP_H.chlorum-partial
2,2,train,16s_C.reinhardtii.mito_domain4
2,2,train,srp_Schi.pomb._AU010514
2,2,train,16s_C.elegans_domain4
2,2,train,16s_H.sapiens.mito_domain4
2,2,test,tmRNA_Jako.libe._TRW-143017_1-102
2,2,test,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
3,3,train,16s_H.sapiens.mito_domain4
3,3,train,16s_C.elegans_domain4
3,3,train,srp_Schi.pomb._AU010514
3,3,train,tmRNA_Jako.libe._TRW-143017_1-102
3,3,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
3,3,train,srp_Toxo.gond._CO743022
3,3,valid,16s_C.reinhardtii.mito_domain4
3,3,valid,RNaseP_H.chlorum-partial
4,4,train,RNaseP_H.chlorum-partial
4,4,train,16s_C.elegans_domain4
4,4,train,16s_C.reinhardtii.mito_domain4
4,4,train,srp_Toxo.gond._CO743022
4,4,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
4,4,train,tmRNA_Jako.libe._TRW-143017_1-102
4,4,valid,16s_H.sapiens.mito_domain4
4,4,test,srp_Schi.pomb._AU010514
5,5,train,RNaseP_H.chlorum-partial
5,5,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
5,5,train,16s_C.elegans_domain4
5,5,train,16s_C.reinhardtii.mito_domain4
5,5,train,srp_Schi.pomb._AU010514
5,5,train,srp_Toxo.gond._CO743022
5,5,valid,tmRNA_Jako.libe._TRW-143017_1-102
5,5,test,16s_H.sapiens.mito_domain4
6,6,train,tmRNA_Jako.libe._TRW-143017_1-102
6,6,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
6,6,train,srp_Schi.pomb._AU010514
6,6,train,16s_H.sapiens.mito_domain4
6,6,valid,16s_C.reinhardtii.mito_domain4
6,6,valid,RNaseP_H.chlorum-partial
6,6,valid,srp_Toxo.gond._CO743022
6,6,test,16s_C.elegans_domain4
7,7,train,16s_C.reinhardtii.mito_domain4
7,7,train,srp_Toxo.gond._CO743022
7,7,train,srp_Schi.pomb._AU010514
7,7,train,RNaseP_H.chlorum-partial
7,7,train,16s_C.elegans_domain4
7,7,train,tmRNA_Jako.libe._TRW-143017_1-102
7,7,train,16s_H.sapiens.mito_domain4
7,7,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
8,8,train,16s_C.reinhardtii.mito_domain4
8,8,train,tmRNA_Jako.libe._TRW-143017_1-102
8,8,train,16s_C.elegans_domain4
8,8,train,16s_H.sapiens.mito_domain4
8,8,train,srp_Schi.pomb._AU010514
8,8,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
8,8,test,RNaseP_H.chlorum-partial
8,8,test,srp_Toxo.gond._CO743022
9,9,train,tmRNA_Jako.libe._TRW-143017_1-102
9,9,train,srp_Toxo.gond._CO743022
9,9,train,16s_C.reinhardtii.mito_domain4
9,9,train,16s_C.elegans_domain4
9,9,train,srp_Schi.pomb._AU010514
9,9,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
9,9,train,RNaseP_H.chlorum-partial
9,9,train,16s_H.sapiens.mito_domain4
