fold_name,fold_number,partition,id
0,0,train,tRNA_tdbR00000395-Saccharomyces_cerevisiae-4932-Ser-GCU
0,0,train,16s_C.reinhardtii.mito_domain4
0,0,train,srp_Toxo.gond._CO743022
0,0,train,16s_C.elegans_domain4
0,0,train,tRNA_tdbR00000591-Ascaris_suum-6253-Lys-UU
0,0,train,tRNA_tdbR00000184-Asterias_amurensis-7602-Lys-CUU
0,0,train,srp_Myco.spec._CP000580
0,0,train,srp_Cyan.cald._AF022186
0,0,train,tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA
0,0,train,srp_Schi.pomb._AU010514
0,0,train,tRNA_tdbR00000029-Asterias_amurensis-7602-Asp-QUC
0,0,train,tRNA_tdbR00000078-Ascaris_suum-6253-Phe-GAA
0,0,train,srp_Camp.jeju._CP000768
0,0,train,srp_Gynu.aura._SDB-109565
0,0,train,tRNA_tdbR00000127-Halocynthia_roretzi-7729-Gly-UCU
0,0,train,16s_H.sapiens.mito_domain4
0,0,train,tmRNA_Jako.libe._TRW-143017_1-102
0,0,train,srp_Pich.stip._CP000502
0,0,train,RNaseP_H.chlorum-partial
0,0,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
0,0,valid,srp_Vibr.para._BA000031
0,0,test,srp_Phyt.infe._CV911012
0,0,test,srp_Cyan.mero._AY286123
0,0,test,srp_Dich.nodo._CP000513
0,0,test,tRNA_tdbR00000365-Aedes_albopictus-7160-Arg-UCG
0,0,test,tRNA_tdbR00000282-Ascaris_suum-6253-Met-AU
1,1,train,16s_C.elegans_domain4
1,1,train,16s_H.sapiens.mito_domain4
1,1,train,srp_Phyt.infe._CV911012
1,1,train,tmRNA_Jako.libe._TRW-143017_1-102
1,1,train,srp_Vibr.para._BA000031
1,1,train,srp_Toxo.gond._CO743022
1,1,train,srp_Gynu.aura._SDB-109565
1,1,train,16s_C.reinhardtii.mito_domain4
1,1,train,srp_Schi.pomb._AU010514
1,1,train,tRNA_tdbR00000029-Asterias_amurensis-7602-Asp-QUC
1,1,train,tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG
1,1,train,srp_Pich.stip._CP000502
1,1,train,srp_Cyan.mero._AY286123
1,1,train,tRNA_tdbR00000591-Ascaris_suum-6253-Lys-UU
1,1,train,RNaseP_H.chlorum-partial
1,1,train,tRNA_tdbR00000282-Ascaris_suum-6253-Met-AU
1,1,train,tRNA_tdbR00000365-Aedes_albopictus-7160-Arg-UCG
1,1,train,srp_Dich.nodo._CP000513
1,1,train,tRNA_tdbR00000184-Asterias_amurensis-7602-Lys-CUU
1,1,train,tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA
1,1,train,tRNA_tdbR00000395-Saccharomyces_cerevisiae-4932-Ser-GCU
1,1,valid,srp_Cyan.cald._AF022186
